epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,14495.2,0.41431,0.45063,1.04037,0.91024,0.85737,0.91892,0.77927,0.65765,0.56463,0.8911,0.002806,0.002806,0.002806
111,14627.6,0.405,0.4433,1.03765,0.90962,0.85759,0.91927,0.77978,0.65614,0.5635,0.89001,0.00274,0.00274,0.00274
112,14758,0.40682,0.44413,1.03367,0.91155,0.85735,0.91958,0.78077,0.65455,0.56212,0.88887,0.002674,0.002674,0.002674
113,14891,0.4051,0.43866,1.03357,0.91443,0.85608,0.91991,0.78145,0.65329,0.56099,0.88813,0.002608,0.002608,0.002608
114,15025.9,0.39626,0.42736,1.02729,0.91702,0.85465,0.92012,0.78176,0.65174,0.55961,0.88711,0.002542,0.002542,0.002542
115,15155.7,0.39606,0.43334,1.02537,0.91901,0.85343,0.92026,0.7824,0.6503,0.55845,0.88601,0.002476,0.002476,0.002476
116,15287.9,0.39137,0.42853,1.02716,0.91996,0.85333,0.92062,0.78309,0.64907,0.5574,0.88512,0.00241,0.00241,0.00241
117,15418.7,0.39669,0.4302,1.02714,0.91734,0.85593,0.92084,0.78345,0.648,0.55663,0.88423,0.002344,0.002344,0.002344
118,15555.9,0.3831,0.41836,1.02169,0.92068,0.85416,0.92108,0.78391,0.64676,0.55574,0.88333,0.002278,0.002278,0.002278
119,15685.4,0.38154,0.41435,1.01981,0.91393,0.86156,0.92121,0.7844,0.6456,0.55506,0.88247,0.002212,0.002212,0.002212
120,15816.8,0.38263,0.41699,1.01848,0.9137,0.86248,0.92149,0.78484,0.64419,0.55401,0.88137,0.002146,0.002146,0.002146
121,15949.5,0.38209,0.41651,1.01504,0.91489,0.86176,0.92191,0.78557,0.64304,0.55321,0.88047,0.00208,0.00208,0.00208
122,16081.3,0.37806,0.4076,1.01294,0.91583,0.86159,0.92213,0.78581,0.64173,0.55215,0.87943,0.002014,0.002014,0.002014
123,16211.8,0.37211,0.40616,1.01152,0.91708,0.86058,0.9223,0.78608,0.64058,0.55122,0.87854,0.001948,0.001948,0.001948
124,16344.2,0.36904,0.40193,1.00997,0.91763,0.86158,0.92238,0.78657,0.63953,0.55068,0.87782,0.001882,0.001882,0.001882
125,16478.5,0.37245,0.40048,1.01225,0.91831,0.8619,0.92245,0.78694,0.63851,0.54983,0.87707,0.001816,0.001816,0.001816
126,16608.4,0.36629,0.39957,1.01051,0.91865,0.8618,0.92256,0.78745,0.63715,0.54914,0.87594,0.00175,0.00175,0.00175
